City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2,upx/ft2
San Francisco,For sale,FALSE,ANZA VISTA,8,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",90 SAINT JOSEPHS AVE,1920,1920,ccogqiyn5bsv,greenturtle,2020-05-05T12:26:20.500Z,UPX,2893,,,23.22,27.87,79550043767629,55555,6944.375,2.9025
San Francisco,Owned,FALSE,ANZA VISTA,6,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",98 SAINT JOSEPHS AVE,1440,2550,tglx4mqcscc5,zhidalgokidz,2020-05-13T00:47:46.500Z,,,,,17.42,20.9,79550094099277,,,2.903333333
San Francisco,Owned,FALSE,APPAREL CITY,18,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",6 MARENGO ST,1800,12500,hsibrnppd4pr,thankmelater,2021-03-30T17:01:42.000Z,,,,,21.77,26.13,79524357850944,,,1.209444444
San Francisco,Owned,FALSE,APPAREL CITY,19,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",140 HELENA ST,1900,85666,hsibrnppd4pr,thankmelater,2021-12-21T20:09:08.500Z,,,,,22.98,27.58,79522931787652,,,1.209473684
San Francisco,Owned,FALSE,APPAREL CITY,19,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",10 MARENGO ST,1900,1900,tglx4mqcscc5,zhidalgokidz,2020-04-02T08:36:43.500Z,,,,,22.98,27.58,79524324296510,,,1.209473684
San Francisco,For sale,FALSE,APPAREL CITY,22,"[{""name"":""San Franciscan"",""yield_boost"":1.2},{""name"":""King of the Street"",""yield_boost"":1.3}]",87 ELMIRA ST,2200,2200,bhjd1zt1tsnw,alexnite01,2020-03-23T01:31:06.000Z,UPX,45455,,,26.61,34.59,79523082782612,1000000,45454.54545,1.209545455
San Francisco,Owned,FALSE,APPAREL CITY,24,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",100 CHARTER OAK AVE,2400,12000,hsibrnppd4pr,thankmelater,2021-03-30T02:50:46.000Z,,,,,29.03,34.84,79522747238246,,,1.209583333
San Francisco,Owned,FALSE,APPAREL CITY,24,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",2231 QUESADA AVE,2400,3199,cv4m1mmqianc,xnoregretx,2020-06-09T08:28:56.000Z,,,,,29.03,34.84,79524290742220,,,1.209583333
San Francisco,Owned,FALSE,APPAREL CITY,24,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",2207 QUESADA AVE,2400,14000,hoiafygjkroq,gratefulra,2020-07-30T03:31:34.500Z,,,,,29.03,34.84,79524039083989,,,1.209583333
San Francisco,Owned,FALSE,APPAREL CITY,25,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",152 HELENA ST,2500,2500,ccogqiyn5bsv,greenturtle,2020-07-27T19:22:15.500Z,,,,,30.24,36.29,79522931787642,,,1.2096
San Francisco,Owned,FALSE,APPAREL CITY,26,"[{""name"":""San Franciscan"",""yield_boost"":1.2},{""name"":""City Pro"",""yield_boost"":1.4}]",2265 SHAFTER AVE,2600,2600,bhjd1zt1tsnw,alexnite01,2020-03-17T01:18:16.000Z,,,,,31.45,44.03,79523720316826,,,1.209615385
San Francisco,Owned,FALSE,APPAREL CITY,26,"[{""name"":""San Franciscan"",""yield_boost"":1.2},{""name"":""King of the Street"",""yield_boost"":1.3}]",2247 SHAFTER AVE,2600,8000,ogctn2ywjpvr,blckchnbck,2022-02-02T20:11:00.000Z,,,completed,iwzpfunivool,31.45,40.88,79523518990250,,,1.209615385
San Francisco,Owned,FALSE,APPAREL CITY,26,"[{""name"":""San Franciscan"",""yield_boost"":1.2},{""name"":""King of the Street"",""yield_boost"":1.3}]",2245 SHAFTER AVE,2600,7000,ogctn2ywjpvr,blckchnbck,2022-02-02T20:10:54.000Z,,,completed,iwzpfunivool,31.45,40.88,79523485435821,,,1.209615385
San Francisco,Owned,FALSE,APPAREL CITY,26,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",101 BOUTWELL ST,2600,3996,aelpu4abrwqo,justjacob,2020-11-10T19:09:58.000Z,,,,,31.45,37.74,79522747238236,,,1.209615385
San Francisco,Owned,FALSE,APPAREL CITY,26,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",105 BOUTWELL ST,2600,12000,hsibrnppd4pr,thankmelater,2021-03-30T02:52:53.500Z,,,,,31.45,37.74,79522663352156,,,1.209615385
San Francisco,Owned,FALSE,APPAREL CITY,26,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",2245 QUESADA AVE,2600,2600,r5atbr2mefbu,sunstar,2020-05-04T20:38:35.000Z,,,,,31.45,37.74,79524357851078,,,1.209615385
San Francisco,Owned,FALSE,APPAREL CITY,26,"[{""name"":""San Franciscan"",""yield_boost"":1.2},{""name"":""King of the Street"",""yield_boost"":1.3}]",2243 SHAFTER AVE,2600,70000,ddcacs33w51z,spyxx,2022-04-04T22:55:12.000Z,,,,,31.45,40.88,79523468658606,,,1.209615385
San Francisco,Owned,FALSE,APPAREL CITY,26,"[{""name"":""San Franciscan"",""yield_boost"":1.2},{""name"":""King of the Street"",""yield_boost"":1.3}]",77 ELMIRA ST,2600,2600,bhjd1zt1tsnw,alexnite01,2020-03-23T01:30:28.500Z,,,,,31.45,40.88,79523133114259,,,1.209615385
San Francisco,Owned,FALSE,APPAREL CITY,26,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",99 CHARTER OAK AVE,2600,2600,qhkmlkla4qvs,stargazer,2020-04-21T03:40:46.500Z,,,,,31.45,37.74,79523015673721,,,1.209615385
San Francisco,Owned,FALSE,APPAREL CITY,26,"[{""name"":""Newbie"",""yield_boost"":1.1},{""name"":""San Franciscan"",""yield_boost"":1.2}]",148 HELENA ST,2600,2600,qhkmlkla4qvs,stargazer,2020-03-16T00:46:31.000Z,,,,,31.45,37.74,79522931787647,,,1.209615385
San Francisco,Owned,FALSE,APPAREL CITY,26,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",103 BOUTWELL ST,2600,100000,hsibrnppd4pr,thankmelater,2022-01-11T05:17:29.000Z,,,,,31.45,37.74,79522696906588,,,1.209615385
San Francisco,Owned,FALSE,APPAREL CITY,8,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",91 ELMIRA ST,800,50000,hsibrnppd4pr,thankmelater,2022-01-10T15:34:17.000Z,,,,,9.68,11.61,79523032450964,,,1.21
San Francisco,Owned,FALSE,AQUATIC PARK / FT. MASON,8,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",2947 LARKIN ST,1920,17560,ss5wfyqrfndb,northcoin99,2020-09-30T06:57:17.000Z,,,,,23.22,27.87,79565646577463,,,2.9025
San Francisco,Owned,FALSE,ASHBURY HEIGHTS,10,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",155 RIVOLI ST,2500,2500,j4hckxwhzh1z,choyna,2020-03-10T23:21:52.500Z,,,,,30.24,36.29,79538937250362,,,3.024
San Francisco,Owned,FALSE,ASHBURY HEIGHTS,9,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",1415 SHRADER ST,2250,2250,a4az33l4coy1,virthus77,2019-12-23T06:14:39.000Z,,,,,27.22,32.66,79538803032613,,,3.024444444
San Francisco,Owned,FALSE,BAYVIEW,13,"[{""name"":""Newbie"",""yield_boost"":1.1},{""name"":""San Franciscan"",""yield_boost"":1.2}]",28 REBECCA LN,1300,1499,hb44lg4pabup,harekrishna,2020-01-04T13:18:27.500Z,,,,,15.72,18.87,79523602876929,,,1.209230769
San Francisco,Owned,FALSE,BAYVIEW,13,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",4340 03RD ST,1300,1300,eszi4j52egtd,capitalist,2019-12-24T02:11:26.000Z,,,,,15.72,18.87,79523955198253,,,1.209230769
