City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2,UPX.Per.UP2
Fresno,Owned,FALSE,EDISON,50,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",304 W KAVILAND AVE,550,550,i5aik4ltprzh,alchemy,2022-12-14T18:58:57.000Z,,,,,6.65,7.98,78883065647605,,,
Fresno,Owned,FALSE,EDISON,60,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",315 W BYRD AVE,660,6000,i5aik4ltprzh,alchemy,2021-08-02T20:01:50.000Z,,,,,7.98,9.58,78883233419760,,,
Fresno,Owned,FALSE,EDISON,76,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",1137 A ST,836,1600,i5aik4ltprzh,alchemy,2021-01-26T22:55:25.000Z,,,,,10.11,12.13,78895044580261,,,
Fresno,Owned,FALSE,HOOVER,60,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",3025 E NORWICH AVE,840,1400,i5aik4ltprzh,alchemy,2020-11-29T00:04:13.000Z,,,,,10.16,12.19,78940275953754,,,
Fresno,Owned,FALSE,HOOVER,60,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",2923 E NORWICH AVE,840,1400,i5aik4ltprzh,alchemy,2020-11-29T00:03:34.000Z,,,,,10.16,12.19,78940275953693,,,
Fresno,Owned,FALSE,HOOVER,60,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",2955 E INDIANAPOLIS AVE,840,1500,i5aik4ltprzh,alchemy,2020-11-29T01:45:54.500Z,,,,,10.16,12.19,78939822968883,,,
Fresno,Owned,FALSE,HOOVER,60,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",3018 E INDIANAPOLIS AVE,840,1500,i5aik4ltprzh,alchemy,2020-11-29T01:47:01.000Z,,,,,10.16,12.19,78939554533461,,,
Fresno,Owned,FALSE,HOOVER,60,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",2912 E NORTHDALE AVE,840,1200,i5aik4ltprzh,alchemy,2020-11-29T02:01:36.500Z,,,,,10.16,12.19,78939118325784,,,
Fresno,Owned,FALSE,EDISON,77,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",1112 MAYOR AVE,847,1400,i5aik4ltprzh,alchemy,2021-01-26T22:54:43.000Z,,,,,10.25,12.29,78894658704290,,,
Fresno,Owned,FALSE,WEST FRESNO,61,"[{""name"":""The Fresno"",""yield_boost"":1.2}]",6336 W WRENWOOD LN,854,1200,i5aik4ltprzh,alchemy,2020-10-26T16:51:11.000Z,,,,,10.33,12.4,78950795262640,,,
